_id,dashboard_name,user_id,components[0].position,components[1].position,components[2].position,components[3].position,components[4].position,components[5].position,components[0].componentType,components[1].componentType,components[2].componentType,components[3].componentType,components[4].componentType,components[5].componentType,components[0]._id,components[1]._id,components[2]._id,components[3]._id,components[4]._id,components[5]._id,components[2].graphSelection.itemId,components[3].graphSelection.itemId,components[4].graphSelection.itemId,components[5].graphSelection.itemId,components[2].graphSelection.hostId,components[3].graphSelection.hostId,components[4].graphSelection.hostId,components[5].graphSelection.hostId,isDefault,isViewer,createdAt,updatedAt,__v
67c04b35d96a7418b68194ec,Dashboard 1,67c049f4f2f7ba6b41c9ae7f,0,1,2,3,4,5,analogClock,table,graph,graph,graph,graph,67d409f3896754cbdc993384,67d409f3896754cbdc993385,67d409f3896754cbdc993386,67d409f3896754cbdc993387,67d409f3896754cbdc993388,67d409f3896754cbdc993389,67c04d43329509453886cb7c,67c04d43329509453886cb7d,67c04ccb3295094538866d1e,67c04ccb3295094538866d1f,67c04d43329509453886cb32,67c04d43329509453886cb32,67c04ccb3295094538866cd3,67c04ccb3295094538866cd3,false,true,2025-02-27T11:23:33.204Z,2025-03-14T10:50:27.395Z,0
67c04c183295094538866c8c,Dashboard 1,67c04bf2ef9708b02c30092d,0,1,2,3,4,5,digitalClock,calendar,analogClock,todolist,table,eventblock,67c9cb28d2475d92bd11c1a5,67c9cb28d2475d92bd11c1a6,67c9cb28d2475d92bd11c1a7,67c9cb28d2475d92bd11c1a8,67c9cb28d2475d92bd11c1a9,67c9cb28d2475d92bd11c1aa,,,,,,,,,true,false,2025-02-27T11:27:20.668Z,2025-03-06T16:19:52.618Z,0
67c5d289253280536253b5f5,Dashboard 1,67c5d1d457b0e73e77597daa,0,,,,,,digitalClock,,,,,,67c5d8ab25328053625f369a,,,,,,,,,,,,,,false,false,2025-03-03T16:02:17.201Z,2025-03-03T16:28:27.820Z,0
67c5d3cc2532805362564c76,Dashboard 1,67c5d17b57b0e73e77597da9,0,1,2,,,,digitalClock,analogClock,graph,,,,67cfd9a2896754cbdc827810,67cfd9a2896754cbdc827811,67cfd9a2896754cbdc827812,,,,67c6c983a6923c36235051f5,,,,67c568352f9448b5d9a05a54,,,,true,false,2025-03-03T16:07:40.667Z,2025-03-11T06:35:14.647Z,0
67c5d3d12532805362564c8d,Dashboard 2,67c5d17b57b0e73e77597da9,0,1,2,,,,digitalClock,eventblock,table,,,,67cfd9a2896754cbdc82781b,67cfd9a2896754cbdc82781c,67cfd9a2896754cbdc82781d,,,,,,,,,,,,false,false,2025-03-03T16:07:45.065Z,2025-03-11T06:35:14.701Z,0
67c5d3d32532805362564ce0,Dashboard 2,67c04bf2ef9708b02c30092d,0,1,2,,,,digitalClock,table,analogClock,,,,67c9cb28d2475d92bd11c1c1,67c9cb28d2475d92bd11c1c2,67c9cb28d2475d92bd11c1c3,,,,,,,,,,,,false,false,2025-03-03T16:07:47.207Z,2025-03-06T16:19:52.697Z,0
67c5d62625328053625ab72b,Dashboard 1,67c5d35f57b0e73e77597dab,0,,,,,,digitalClock,,,,,,67c5d62f25328053625ab9e8,,,,,,,,,,,,,,false,false,2025-03-03T16:17:42.466Z,2025-03-03T16:17:51.656Z,0
67c5d62925328053625ab73f,Dashboard 2,67c5d35f57b0e73e77597dab,0,,,,,,digitalClock,,,,,,67c5d62925328053625ab740,,,,,,,,,,,,,,false,false,2025-03-03T16:17:45.573Z,2025-03-03T16:17:45.573Z,0
67c5d63425328053625ab9ef,Dashboard 3,67c5d35f57b0e73e77597dab,0,1,2,3,4,,digitalClock,analogClock,table,graph,eventblock,,67c5d65625328053625ae0b7,67c5d65625328053625ae0b8,67c5d65625328053625ae0b9,67c5d65625328053625ae0ba,67c5d65625328053625ae0bb,,,67c5a52039ff9eb7f19f007c,,,,67c5a52039ff9eb7f19f0070,,,false,false,2025-03-03T16:17:56.695Z,2025-03-03T16:18:30.269Z,0
67d40c3d896754cbdc9cca99,Dashboard 2,67c049f4f2f7ba6b41c9ae7f,0,,,,,,digitalClock,,,,,,67d40c40896754cbdc9cca9f,,,,,,,,,,,,,,true,false,2025-03-14T11:00:13.400Z,2025-03-14T11:00:16.014Z,0
67d4412f896754cbdcf67bf1,Dashboard 1,67d3fd6f0c1ab31dc11ad2f2,0,,,,,,digitalClock,,,,,,67d4412f896754cbdcf67bf2,,,,,,,,,,,,,,false,false,2025-03-14T14:46:07.415Z,2025-03-14T14:46:07.415Z,0
67daab3a896754cbdcd14fd5,Dashboard 1,67c3e2cada95d89926c27b47,0,,,,,,digitalClock,,,,,,67daab3a896754cbdcd14fd6,,,,,,,,,,,,,,false,false,2025-03-19T11:32:10.740Z,2025-03-19T11:32:10.740Z,0
