_id,type,severity,hostname,status,message,resolvedAt,createdAt,__v,trigger_id
67c6b7f1a6923c3623337b25,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet6 Operational Status changed from up --> down,,2025-03-04T08:21:05.965Z,0,
67c6b82da6923c362333dde8,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet6 Operational Status changed from down --> up,,2025-03-04T08:22:05.984Z,0,
67c6b8a5a6923c362334a2d7,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet6 Operational Status changed from up --> down,,2025-03-04T08:24:05.981Z,0,
67c6b8e1a6923c3623350506,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet6 Operational Status changed from down --> up,,2025-03-04T08:25:05.975Z,0,
67c6b95aa6923c362335ca89,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet6 Operational Status changed from up --> down,,2025-03-04T08:27:06.002Z,0,
67c6b995a6923c3623362d02,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet6 Operational Status changed from down --> up,,2025-03-04T08:28:05.997Z,0,
67c6c67aa6923c36234b611c,host,warning,SW Fl.5,EVENT,[SW Fl.5] Interface GigabitEthernet16 Operational Status changed from up --> down,,2025-03-04T09:23:06.634Z,0,
67c6cb2aa6923c3623530ada,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet5 Operational Status changed from up --> down,,2025-03-04T09:43:06.040Z,0,
67c6d33da5bd055af1244551,host,warning,SW Fl.5,EVENT,[SW Fl.5] Interface GigabitEthernet5 Operational Status changed from up --> down,,2025-03-04T10:17:33.483Z,0,
67c6d594a5bd055af128191d,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet6 Operational Status changed from up --> down,,2025-03-04T10:27:32.935Z,0,
67c6d5d0a5bd055af1287b3f,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet6 Operational Status changed from down --> up,,2025-03-04T10:28:32.929Z,0,
67c6eb9da5bd055af14ca38f,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet6 Operational Status changed from up --> down,,2025-03-04T12:01:33.364Z,0,
67c6ebd9a5bd055af14d0855,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet6 Operational Status changed from down --> up,,2025-03-04T12:02:33.375Z,0,
67c71dc5a5bd055af1a11984,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet6 Operational Status changed from up --> down,,2025-03-04T15:35:33.670Z,0,
67c71e01a5bd055af1a17e07,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet6 Operational Status changed from down --> up,,2025-03-04T15:36:33.663Z,0,
67c74d8175f9c4c6e7b8c4b8,host,critical,HP,RESOLVED,HP [100.10.181.20] is down. Please check your SNMP configuration or device status.,2025-03-04T19:00:03.751Z,2025-03-04T18:59:13.572Z,0,
67c75d2c9aa53fc50e27b02c,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet6 Operational Status changed from up --> down,,2025-03-04T20:06:04.455Z,0,
67c75d689aa53fc50e281563,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet6 Operational Status changed from down --> up,,2025-03-04T20:07:04.495Z,0,
67c7983d9aa53fc50e8bb152,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet6 Operational Status changed from up --> down,,2025-03-05T00:18:05.363Z,0,
67c798799aa53fc50e8c1546,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet6 Operational Status changed from down --> up,,2025-03-05T00:19:05.359Z,0,
67c799e19aa53fc50e8e7755,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet6 Operational Status changed from up --> down,,2025-03-05T00:25:05.352Z,0,
67c79a1d9aa53fc50e8edc3d,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet6 Operational Status changed from down --> up,,2025-03-05T00:26:05.369Z,0,
67c7a5999aa53fc50ea25041,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet38 Operational Status changed from down --> up,,2025-03-05T01:15:05.476Z,0,
67c7aca29aa53fc50eae4128,host,warning,SW Fl.5,EVENT,[SW Fl.5] Interface GigabitEthernet16 Operational Status changed from down --> up,,2025-03-05T01:45:06.248Z,0,
67c7b0619aa53fc50eb4915c,host,warning,SW Fl.4,EVENT,[SW Fl.4] Interface GigabitEthernet5 Operational Status changed from down --> up,,2025-03-05T02:01:05.652Z,0,
67c7b9c475f9c4c6e7b8c4b9,item,critical,SW Fl.4,RESOLVED,last(Total Inbound Traffic) > 41000000,2025-03-05T02:45:08.056Z,2025-03-05T02:41:08.050Z,0,67c6f851a5bd055af161fde6
67c7b9c475f9c4c6e7b8c4ba,item,warning,SW Fl.4,RESOLVED,last(Total Inbound Traffic) > 22000000,2025-03-05T02:45:08.082Z,2025-03-05T02:41:08.052Z,0,67c6f83aa5bd055af16199ff
67c7bdf975f9c4c6e7b8c4bb,item,warning,SW Fl.5,RESOLVED,last(Total Inbound Traffic) > 60000000,2025-03-05T02:59:05.731Z,2025-03-05T02:59:05.706Z,0,67c6f5d7a5bd055af15dac35
67c7bdf975f9c4c6e7b8c4bc,item,warning,SW Fl.5,RESOLVED,last(Total Outbound Traffic) > 60000000,2025-03-05T03:02:05.831Z,2025-03-05T02:59:05.846Z,0,67c6f63ca5bd055af15e7290
67c7c57975f9c4c6e7b8c4bd,item,warning,SW Fl.5,RESOLVED,last(Total Outbound Traffic) > 60000000,2025-03-05T03:34:05.897Z,2025-03-05T03:31:05.846Z,0,67c6f63ca5bd055af15e7290
67c7c6e29aa53fc50edab579,host,warning,SW Fl.5,EVENT,[SW Fl.5] Interface GigabitEthernet5 Operational Status changed from down --> up,,2025-03-05T03:37:06.569Z,0,
67c7d29a9aa53fc50eee8d6c,host,warning,SW Fl.5,EVENT,[SW Fl.5] Interface GigabitEthernet16 Operational Status changed from up --> down,,2025-03-05T04:27:06.711Z,0,
