_id,host_id,item_name,oid,type,unit,interval,isBandwidth,isOverview,__v,createAt,updateAt
67c04ccb3295094538866d1e,67c04ccb3295094538866cd3,Total Inbound Traffic,1.3.6.1.2.1.2.2.1.10,counter,bit,60,false,true,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d1f,67c04ccb3295094538866cd3,Total Outbound Traffic,1.3.6.1.2.1.2.2.1.16,counter,bit,60,false,true,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d20,67c04ccb3295094538866cd3,CPU usage last second,1.3.6.1.4.1.9.6.1.101.1.7.0,integer,%,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d21,67c04ccb3295094538866cd3,CPU usage last minute,1.3.6.1.4.1.9.6.1.101.1.8.0,integer,%,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d22,67c04ccb3295094538866cd3,CPU usage last 5 minutes,1.3.6.1.4.1.9.6.1.101.1.9.0,integer,%,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d23,67c04ccb3295094538866cd3,Temperature sensor value,1.3.6.1.4.1.9.6.1.101.53.15.1.10.1,integer,C,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d24,67c04ccb3295094538866cd3,Temperature sensor status,1.3.6.1.4.1.9.6.1.101.53.15.1.11.1,integer,Status,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d25,67c04ccb3295094538866cd3,GigabitEthernet1 InOctets,1.3.6.1.2.1.2.2.1.10.1,counter,Octets,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d26,67c04ccb3295094538866cd3,GigabitEthernet1 InUcastPkts,1.3.6.1.2.1.2.2.1.11.1,counter,Packets,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d27,67c04ccb3295094538866cd3,GigabitEthernet1  InNUcastPkts,1.3.6.1.2.1.2.2.1.12.1,counter,Packets,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d28,67c04ccb3295094538866cd3,GigabitEthernet1 OutOctets,1.3.6.1.2.1.2.2.1.16.1,counter,Octets,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d29,67c04ccb3295094538866cd3,GigabitEthernet1 OutUcastPkts,1.3.6.1.2.1.2.2.1.17.1,counter,Packets,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d2a,67c04ccb3295094538866cd3,GigabitEthernet1 OutNUcastPkts,1.3.6.1.2.1.2.2.1.18.1,counter,Packets,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d2b,67c04ccb3295094538866cd3,GigabitEthernet2 InOctets,1.3.6.1.2.1.2.2.1.10.2,counter,Octets,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d2c,67c04ccb3295094538866cd3,GigabitEthernet2 InUcastPkts,1.3.6.1.2.1.2.2.1.11.2,counter,Packets,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d2d,67c04ccb3295094538866cd3,GigabitEthernet2  InNUcastPkts,1.3.6.1.2.1.2.2.1.12.2,counter,Packets,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d2e,67c04ccb3295094538866cd3,GigabitEthernet2 OutOctets,1.3.6.1.2.1.2.2.1.16.2,counter,Octets,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d2f,67c04ccb3295094538866cd3,GigabitEthernet2 OutUcastPkts,1.3.6.1.2.1.2.2.1.17.2,counter,Packets,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d30,67c04ccb3295094538866cd3,GigabitEthernet2 OutNUcastPkts,1.3.6.1.2.1.2.2.1.18.2,counter,Packets,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d31,67c04ccb3295094538866cd3,GigabitEthernet5 InOctets,1.3.6.1.2.1.2.2.1.10.5,counter,Octets,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d32,67c04ccb3295094538866cd3,GigabitEthernet5 InUcastPkts,1.3.6.1.2.1.2.2.1.11.5,counter,Packets,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d33,67c04ccb3295094538866cd3,GigabitEthernet5  InNUcastPkts,1.3.6.1.2.1.2.2.1.12.5,counter,Packets,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d34,67c04ccb3295094538866cd3,GigabitEthernet5 InErrors,1.3.6.1.2.1.2.2.1.14.5,counter,Packets,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d35,67c04ccb3295094538866cd3,GigabitEthernet5 OutOctets,1.3.6.1.2.1.2.2.1.16.5,counter,Octets,60,false,false,0,2025-02-27T11:30:19.700Z,2025-02-27T11:30:19.700Z
67c04ccb3295094538866d36,67c04ccb3295094538866cd3,GigabitEthernet5 OutUcastPkts,1.3.6.1.2.1.2.2.1.17.5,counter,Packets,60,false,false,0,2025-02-27T11:30:19.701Z,2025-02-27T11:30:19.701Z
67c04ccb3295094538866d37,67c04ccb3295094538866cd3,GigabitEthernet5 OutNUcastPkts,1.3.6.1.2.1.2.2.1.18.5,counter,Packets,60,false,false,0,2025-02-27T11:30:19.701Z,2025-02-27T11:30:19.701Z
67c04ccb3295094538866d38,67c04ccb3295094538866cd3,GigabitEthernet6 InOctets,1.3.6.1.2.1.2.2.1.10.6,counter,Octets,60,false,false,0,2025-02-27T11:30:19.701Z,2025-02-27T11:30:19.701Z
67c04ccb3295094538866d39,67c04ccb3295094538866cd3,GigabitEthernet6 InUcastPkts,1.3.6.1.2.1.2.2.1.11.6,counter,Packets,60,false,false,0,2025-02-27T11:30:19.701Z,2025-02-27T11:30:19.701Z
67c04ccb3295094538866d3a,67c04ccb3295094538866cd3,GigabitEthernet6  InNUcastPkts,1.3.6.1.2.1.2.2.1.12.6,counter,Packets,60,false,false,0,2025-02-27T11:30:19.701Z,2025-02-27T11:30:19.701Z
67c04ccb3295094538866d3b,67c04ccb3295094538866cd3,GigabitEthernet6 OutOctets,1.3.6.1.2.1.2.2.1.16.6,counter,Octets,60,false,false,0,2025-02-27T11:30:19.701Z,2025-02-27T11:30:19.701Z
67c04ccb3295094538866d3c,67c04ccb3295094538866cd3,GigabitEthernet6 OutUcastPkts,1.3.6.1.2.1.2.2.1.17.6,counter,Packets,60,false,false,0,2025-02-27T11:30:19.701Z,2025-02-27T11:30:19.701Z
67c04ccb3295094538866d3d,67c04ccb3295094538866cd3,GigabitEthernet6 OutNUcastPkts,1.3.6.1.2.1.2.2.1.18.6,counter,Packets,60,false,false,0,2025-02-27T11:30:19.701Z,2025-02-27T11:30:19.701Z
67c04ccb3295094538866d3e,67c04ccb3295094538866cd3,GigabitEthernet7 InOctets,1.3.6.1.2.1.2.2.1.10.7,counter,Octets,60,false,false,0,2025-02-27T11:30:19.701Z,2025-02-27T11:30:19.701Z
67c04ccb3295094538866d3f,67c04ccb3295094538866cd3,GigabitEthernet7 InUcastPkts,1.3.6.1.2.1.2.2.1.11.7,counter,Packets,60,false,false,0,2025-02-27T11:30:19.701Z,2025-02-27T11:30:19.701Z
67c04ccb3295094538866d40,67c04ccb3295094538866cd3,GigabitEthernet7  InNUcastPkts,1.3.6.1.2.1.2.2.1.12.7,counter,Packets,60,false,false,0,2025-02-27T11:30:19.701Z,2025-02-27T11:30:19.701Z
67c04ccb3295094538866d41,67c04ccb3295094538866cd3,GigabitEthernet7 OutOctets,1.3.6.1.2.1.2.2.1.16.7,counter,Octets,60,false,false,0,2025-02-27T11:30:19.701Z,2025-02-27T11:30:19.701Z
67c04ccb3295094538866d42,67c04ccb3295094538866cd3,GigabitEthernet7 OutUcastPkts,1.3.6.1.2.1.2.2.1.17.7,counter,Packets,60,false,false,0,2025-02-27T11:30:19.701Z,2025-02-27T11:30:19.701Z
67c04ccb3295094538866d43,67c04ccb3295094538866cd3,GigabitEthernet7 OutNUcastPkts,1.3.6.1.2.1.2.2.1.18.7,counter,Packets,60,false,false,0,2025-02-27T11:30:19.701Z,2025-02-27T11:30:19.701Z
67c04ccb3295094538866d44,67c04ccb3295094538866cd3,GigabitEthernet11 InOctets,1.3.6.1.2.1.2.2.1.10.11,counter,Octets,60,false,false,0,2025-02-27T11:30:19.701Z,2025-02-27T11:30:19.701Z
67c04ccb3295094538866d45,67c04ccb3295094538866cd3,GigabitEthernet11 InUcastPkts,1.3.6.1.2.1.2.2.1.11.11,counter,Packets,60,false,false,0,2025-02-27T11:30:19.701Z,2025-02-27T11:30:19.701Z
67c04ccb3295094538866d46,67c04ccb3295094538866cd3,GigabitEthernet11  InNUcastPkts,1.3.6.1.2.1.2.2.1.12.11,counter,Packets,60,false,false,0,2025-02-27T11:30:19.701Z,2025-02-27T11:30:19.701Z
67c04ccb3295094538866d47,67c04ccb3295094538866cd3,GigabitEthernet11 OutOctets,1.3.6.1.2.1.2.2.1.16.11,counter,Octets,60,false,false,0,2025-02-27T11:30:19.701Z,2025-02-27T11:30:19.701Z
67c04ccb3295094538866d48,67c04ccb3295094538866cd3,GigabitEthernet11 OutUcastPkts,1.3.6.1.2.1.2.2.1.17.11,counter,Packets,60,false,false,0,2025-02-27T11:30:19.701Z,2025-02-27T11:30:19.701Z
